f,name,price,energy,protein,fat,carbo,salt,calcium,veg,iron,va,vb1,vb2,vc,place,category
f238,きつねうどん,352,431,13.3,7.3,78.1,4.9,79,5,1.3,6,0.06,0.06,2,p7,c3
f239,きつねそば,352,421,19.4,8,68.2,4.1,79,5,2.2,6,0.11,0.07,2,p7,c3
f240,まぐとろキムチ丼中,495,493,15.8,5.4,99.3,1.9,38,37,1.2,37,0.15,0.1,12,p7,c4
f241,欧風カレー,473,601,13.6,15.3,105.6,2.3,32,43,0.9,14,0.09,0.07,4,p7,c4
f242,欧風カツカレー,594,882,24.8,35,119.6,2.9,38,43,1.2,17,0.4,0.13,4,p7,c4
f243,ケバブプレート,649,329,5.8,0.7,78.6,0,28,63,0.3,79,0.08,0.04,19,p7,c6
f244,ケバブラップ,649,17,0.8,0.1,4.4,0,22,63,0.1,79,0.04,0.02,19,p7,c6
f245,Ｈ）チキンルンダン,638,912,24.7,29,141,1.8,38,48,2.5,29,0.19,0.2,5,p7,c6
f246,ベジラップ,440,26,1.2,0.1,6.3,0,33,95,0.2,116,0.06,0.03,26,p7,c6
f247,大豆ミートのキーマカレー,616,594,15.5,11.3,110.2,2.7,73,52,1.8,111,0.21,0.11,7,p7,c6
f248,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p7,c7
f249,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p7,c7
f250,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p7,c7
f251,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p7,c7
